Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
72407.225,1,0,1
72407.2429,1,0,1
72407.2309,1,0,0
72407.2925,1,0,0
573.66009,1,0,0
573.66366,1,1,0
573.65952,0,0,0
72407.2675,1,0,1
72407.2443,1,0,0
72407.2291,1,0,1
72407.2815,0,0,0
573.66393,1,1,0
72407.2676,0,0,0
573.6598,0,0,0
72407.258,1,0,0
72407.2654,0,0,0
574.66,1,0,0
573.66285,1,1,1
72407.2744,1,0,0
573.66023,0,0,0
573.66413,1,1,1
573.65989,0,0,0
573.66359,1,1,1
72407.2189,1,0,0
72407.219,1,0,0
573.66295,1,1,1
72407.2218,0,0,0
72407.2864,1,0,0
573.66062,1,0,0
573.66239,1,1,1
72407.2748,0,0,0
573.66045,1,0,0
573.65963,1,0,1
72407.2484,1,0,0
573.66541,1,1,1
72407.2639,1,0,0
72407.2661,1,0,1
72407.277,1,1,1
72407.2863,0,0,0
573.6655,1,0,1
72407.2657,0,1,0
573.66559,1,0,0
573.66014,1,1,1
72407.2517,1,0,1
72407.2475,1,0,1
72407.2857,1,0,0
72407.2854,1,0,0
573.66435,1,1,1
573.6601,1,1,1
72407.2483,1,0,0
72407.2538,1,0,1
573.5,1,0,1
573.66422,1,1,0
72407.2853,1,0,0
72407.2282,0,0,0
72407.2343,1,0,0
72407.2779,1,0,1
72407.2847,1,0,0
573.67694,1,0,0
72407.2843,1,0,0
573.66252,1,1,1
72407.2479,1,1,1
573.50741,1,1,1
573.66546,1,1,1
573.66282,1,1,1
72407.254,0,0,0
72407.227,0,0,0
574.105,0,1,1
574.12,1,0,1
72407.2739,1,0,1
573.66529,1,1,0
573.66492,1,0,0
573.66468,1,1,1
72407.262,0,0,0
72407.2682,1,0,0
573.6649,1,1,0
573.66082,1,0,1
573.66224,1,1,0
72407.2345,0,0,0
574.114,0,1,0
72407.2873,0,0,0
72407.2643,0,0,0
573.66505,1,1,1
72407.2942,1,0,0
573.6603,1,0,1
574.65,1,0,0
573.65931,0,1,0
72407.2388,1,0,1
574.88,1,0,1
574.79,1,1,0
72407.282,1,0,0
72407.2558,1,0,0
72407.2327,0,1,1
573.66256,1,1,0
573.67682,0,0,0
573.66369,1,1,0
574.117,1,0,0
573.66293,1,1,1
573.66425,1,1,0
72407.2818,0,0,0
72407.2175,1,0,0
573.65923,0,0,0
72407.2961,0,0,0
72407.2391,0,0,0
72407.2198,0,0,0
573.65934,1,0,1
573.66266,1,1,0
573.66228,1,1,1
573.66059,0,0,0
72407.2452,1,0,1
72407.2706,1,0,0
573.6632,1,1,0
574.112,1,0,0
72407.2732,1,0,0
573.66512,1,1,0
573.49997,1,1,1
573.66322,1,1,0
72407.2217,0,0,0
573.66323,1,1,0
573.66069,0,1,1
573.66424,1,1,0
72407.2637,1,0,0
573.66317,1,1,1
573.66506,1,1,0
72407.2283,1,0,1
72407.2562,1,0,1
72407.2777,1,0,1
72407.2711,1,0,0
573.66217,1,1,0
573.6643,1,1,1
573.66005,1,0,0
573.66356,1,1,1
72407.2782,1,0,1
72407.2249,1,0,0
573.66564,1,1,0
72407.26,1,1,0
72407.2778,1,0,0
72407.2669,1,0,0
72407.2648,0,0,0
573.66294,1,1,1
573.65918,0,0,0
573.66367,1,1,1
573.66289,1,1,1
72407.2511,1,0,1
72407.2563,1,0,1
573.66543,1,1,1
574.122,0,0,0
72407.22,0,0,0
72407.2523,0,0,0
72407.2482,1,0,0
72407.2255,1,0,1
573.66361,1,1,1
573.66281,1,0,0
573.66446,1,1,1
573.66349,1,1,1
72407.296,0,0,0
574.9,1,1,0
573.65936,1,0,0
72407.2798,1,0,1
72407.2216,0,0,1
72407.2437,1,0,1
72407.2827,1,0,1
72407.2462,1,0,0
72407.2721,0,0,1
573.66338,1,1,0
573.66006,1,0,0
573.65937,1,1,1
72407.2431,1,0,0
72407.2724,1,0,0
72407.222,0,0,1
72407.2966,1,0,0
573.67693,1,0,1
72407.2176,0,0,0
573.66214,1,1,1
573.66216,1,1,0
72407.2586,1,0,0
573.6596,1,0,0
72407.286,1,0,0
72407.2937,1,1,1
72407.2229,0,0,0
573.6599,1,0,0
573.6624,1,1,1
72407.2256,1,0,0
573.6625,1,1,1
72407.2609,1,0,0
72407.2684,0,1,0
573.6592,0,0,0
573.66355,1,0,1
573.5074,1,1,1
573.66279,1,1,0
72407.2576,1,0,0
573.66221,1,1,0
72407.2316,0,1,0
72407.2298,0,0,0
573.66326,1,0,0
72407.2323,1,1,0
573.66563,1,1,0
72407.2315,0,1,0
574.82,1,1,0
573.6646,1,0,0
72407.2673,1,0,1
72407.2672,1,0,1
72407.2528,1,0,1
72407.2294,0,0,1
72407.2512,0,0,0
573.65905,0,0,1
573.66249,0,0,0
573.67691,0,0,0
573.66447,1,1,1
72407.2373,1,0,1
573.661,0,0,0
573.66333,1,1,1
573.66485,1,1,1
72407.2508,1,0,1
72407.2752,1,0,1
573.49995,1,1,1
72407.2174,1,0,0
72407.2767,1,1,0
574.68,1,0,0
72407.2526,0,0,0
573.66327,1,1,0
573.66007,0,0,0
573.67688,1,0,1
574.103,1,0,0
573.65948,1,0,0
573.66048,0,0,0
574.107,1,0,0
72407.2905,1,0,1
72407.2808,1,0,0
573.66247,1,1,1
72407.2186,1,0,1
72407.2418,1,0,0
573.56424,1,1,0
573.67692,1,0,0
573.66479,1,1,0
573.65979,0,0,0
573.66429,1,1,0
573.6652,1,1,1
72407.2652,1,0,1
573.66437,1,1,0
573.66502,1,1,1
573.66484,1,1,0
573.66562,1,0,1
573.66226,1,1,1
72407.2374,1,0,0
573.65999,1,0,0
574.1,1,1,1
573.67677,1,0,1
72407.2371,1,0,0
573.66297,1,1,0
573.65995,1,0,1
72407.2274,1,0,1
72407.2329,1,0,0
